RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Jabari Bird, SG",BOS,13,8.8,8,0.6,3.3,1.00,0.38
,"Ron Baker, SG",NY,29,13.3,18,0.6,2.2,2.61,1.44
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
161,"Vince Carter, SG",SAC,58,17.7,36,0.6,1.7,1.92,1.17
,"Rodney Purvis, G",ORL,16,18.1,10,0.6,1.7,1.70,0.30
,"Nik Stauskas, SG",BKN/PHI,41,12.8,26,0.6,2.4,1.50,0.35
,"Ryan Anderson, PF",HOU,66,26.1,42,0.6,1.2,1.43,0.57
,"Salah Mejri, C",DAL,61,12.0,39,0.6,2.6,0.90,0.56
166,"Tyler Dorsey, SG",ATL,56,17.4,37,0.7,1.8,2.14,0.46
,"Tim Quarterman, G",HOU,3,4.3,2,0.7,7.4,0.50,0.00
,"Demetrius Jackson, PG",HOU/PHI,15,5.3,10,0.7,6.0,0.90,0.50
,"Caleb Swanigan, PF",POR,27,7.0,18,0.7,4.6,0.78,0.28
,"Maurice Harkless, SF",POR,59,21.4,40,0.7,1.5,1.33,1.20
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Tristan Thompson, C",CLE,53,20.2,36,0.7,1.6,0.92,0.44
,"Tarik Black, PF",HOU,51,10.5,35,0.7,3.1,0.37,0.60
,"Omri Casspi, SF",GS,53,14.0,37,0.7,2.4,1.38,0.49
,"Mirza Teletovic, PF",MIL,10,15.9,7,0.7,2.1,1.43,0.57
,"Tyler Ennis, G",LAL,54,12.6,38,0.7,2.7,2.76,0.79
,"Abdel Nader, SF",BOS,48,10.9,34,0.7,3.1,0.76,0.44
,"Tyler Zeller, C",MIL/BKN,66,16.8,47,0.7,2.0,1.00,0.32
,"Kenneth Faried, PF",DEN,32,14.4,23,0.7,2.4,0.78,0.52
,"Jose Calderon, PG",CLE,57,16.0,41,0.7,2.2,2.85,0.66
,"Patrick McCaw, SG",GS,57,16.9,41,0.7,2.0,1.98,1.05
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Willy Hernangomez, C",NY/CHA,48,10.3,35,0.7,3.4,0.94,0.51
,"Nene Hilario, C",HOU,52,14.6,38,0.7,2.4,1.18,0.74
,"Sean Kilpatrick, G",CHI/LAC/MIL/BKN,52,12.3,38,0.7,2.9,1.21,0.34
