RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
232,"Patty Mills, PG",SA,82,25.7,11,128,0.13,0.25,0.09
,"Mike Scott, PF",WSH,76,18.5,10,148,0.13,0.34,0.07
,"Alec Burks, SG",UTAH,64,16.5,8,75,0.13,0.36,0.11
235,"Sam Dekker, SF",LAC,73,12.1,9,71,0.12,0.49,0.13
,"Tim Frazier, PG",WSH,59,14.2,7,97,0.12,0.40,0.07
,"Shelvin Mack, G",ORL,69,19.8,8,91,0.12,0.28,0.09
238,"Malik Beasley, SG",DEN,62,9.5,7,36,0.11,0.57,0.19
,"Jamal Crawford, SG",MIN,80,20.7,9,85,0.11,0.26,0.11
,"Yogi Ferrell, PG",DAL,82,27.8,9,153,0.11,0.19,0.06
RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
241,"Brandon Paul, G",SA,64,9.0,7,58,0.11,0.58,0.12
,"Jerian Grant, PG",CHI,74,22.8,8,132,0.11,0.23,0.06
,"Alex Abrines, SG",OKC,75,15.1,8,124,0.11,0.34,0.06
244,"Wayne Ellington, SG",MIA,77,26.5,8,94,0.10,0.19,0.09
,"Bojan Bogdanovic, SF",IND,80,30.8,8,129,0.10,0.16,0.06
,"Tyler Ulis, G",PHX,71,23.4,7,120,0.10,0.20,0.06
247,"Dennis Schroder, PG",ATL,67,31.0,6,147,0.09,0.14,0.04
,"Nick Young, SG",GS,80,17.4,7,100,0.09,0.24,0.07
,"Langston Galloway, SG",DET,58,14.9,5,39,0.09,0.28,0.13
,"JJ Redick, SG",PHI,70,30.2,6,123,0.09,0.14,0.05
RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
251,"Jordan Clarkson, PG",CLE/LAL,81,23.3,6,107,0.07,0.15,0.06
,"Tyus Jones, PG",MIN,82,17.9,6,110,0.07,0.20,0.05
253,"Jarrett Jack, PG",NY,62,25.0,4,98,0.06,0.12,0.04
,"Troy Daniels, SG",PHX,79,20.5,5,137,0.06,0.15,0.04
255,"Semi Ojeleye, PF",BOS,73,15.8,4,91,0.05,0.17,0.04
,"Jodie Meeks, SG",WSH,77,14.5,4,55,0.05,0.17,0.07
,"Cedi Osman, SF",CLE,61,11.0,3,78,0.05,0.21,0.04
258,"J.J. Barea, PG",DAL,69,23.2,3,83,0.04,0.09,0.04
259,"Treveon Graham, SG",CHA,63,16.7,2,109,0.03,0.09,0.02
,"Bryn Forbes, SG",SA,80,19.0,2,108,0.03,0.06,0.02
RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
261,"D.J. Augustin, PG",ORL,75,23.5,0,94,0.00,0.00,0.00
