RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Nemanja Bjelica, PF",MIN,67,20.5,141,2.1,4.9,0,2,1
,"Tarik Black, PF",HOU,51,10.5,107,2.1,9.6,0,0,0
,"Kyle Kuzma, PF",LAL,77,31.2,160,2.1,3.2,1,1,0
,"Garrett Temple, SF",SAC,65,24.8,135,2.1,4.0,0,0,0
,"Will Barton, SF",DEN,81,33.1,168,2.1,3.0,0,2,0
,"CJ McCollum, SG",POR,81,36.1,168,2.1,2.8,1,2,0
,"Evan Turner, SF",POR,79,25.7,163,2.1,3.8,1,4,0
,"Justise Winslow, SF",MIA,68,24.7,140,2.1,4.0,1,3,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Dario Saric, PF",PHI,78,29.6,160,2.1,3.3,0,5,0
,"Tobias Harris, SF",DET/LAC,80,33.4,164,2.1,2.9,0,3,0
143,"Pascal Siakam, PF",TOR,81,20.7,166,2.0,4.7,0,0,0
,"Taurean Prince, SF",ATL,82,30.0,168,2.0,3.3,2,3,0
,"Dorian Finney-Smith, SF",DAL,21,21.3,43,2.0,4.6,0,0,0
,"Marreese Speights, PF",ORL,52,13.0,106,2.0,7.5,3,4,1
,"Kevin Love, C",CLE,59,28.0,120,2.0,3.5,0,0,0
,"Kyrie Irving, PG",BOS,60,32.2,122,2.0,3.0,0,4,0
,"Dion Waiters, SG",MIA,30,30.6,61,2.0,3.2,0,1,0
,"Dragan Bender, PF",PHX,82,25.2,166,2.0,3.8,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Richaun Holmes, PF",PHI,48,15.5,97,2.0,6.2,0,2,0
,"Jawun Evans, PG",LAC,48,16.2,97,2.0,6.0,0,0,0
,"Zach Randolph, PF",SAC,59,25.6,119,2.0,3.8,0,2,0
,"Deyonta Davis, C",MEM,62,15.2,125,2.0,6.4,0,0,0
,"Zach Collins, C",POR,66,15.8,133,2.0,6.1,0,0,0
