RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
131,"Pau Gasol, C",SA,77,23.5,10.1,0.458,0.358,0.756
132,"Patty Mills, PG",SA,82,25.7,10,0.411,0.372,0.89
,"CJ Miles, SF",TOR,70,19.1,10,0.379,0.361,0.835
,"Wilson Chandler, SF",DEN,74,31.6,10,0.445,0.358,0.772
,"George Hill, PG",CLE/SAC,67,27,10,0.46,0.415,0.786
,"Dewayne Dedmon, C",ATL,62,24.9,10,0.524,0.355,0.779
137,"Trey Lyles, PF",DEN,73,19.1,9.9,0.491,0.381,0.706
138,"Jae Crowder, PF",CLE/UTAH,80,26.1,9.7,0.404,0.323,0.818
139,"Mario Hezonja, SF",ORL,75,22.1,9.6,0.442,0.337,0.819
140,"Marvin Williams, PF",CHA,78,25.7,9.5,0.458,0.413,0.829
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
141,"Ryan Anderson, PF",HOU,66,26.1,9.3,0.431,0.386,0.774
,"Al-Farouq Aminu, PF",POR,69,30,9.3,0.395,0.369,0.738
143,"Lance Stephenson, SG",IND,82,22.6,9.2,0.427,0.289,0.661
,"Kyle Korver, SG",CLE,73,21.6,9.2,0.459,0.436,0.889
,"Michael Kidd-Gilchrist, SF",CHA,74,25,9.2,0.504,0,0.684
146,"Anthony Tolliver, PF",DET,79,22.2,8.9,0.464,0.436,0.797
,"Troy Daniels, SG",PHX,79,20.5,8.9,0.403,0.4,0.875
,"Manu Ginobili, SG",SA,65,20,8.9,0.434,0.333,0.84
149,"Mike Scott, PF",WSH,76,18.5,8.8,0.527,0.405,0.658
,"John Henson, C",MIL,76,25.9,8.8,0.572,0.143,0.57
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
151,"Skal Labissiere, PF",SAC,60,20.7,8.7,0.448,0.353,0.805
,"Shabazz Napier, PG",POR,74,20.7,8.7,0.42,0.376,0.841
,"Larry Nance Jr., PF",CLE/LAL,66,21.5,8.7,0.581,0.167,0.664
,"Stanley Johnson, SF",DET,69,27.4,8.7,0.375,0.286,0.772
155,"Emmanuel Mudiay, PG",DEN/NY,64,19.4,8.6,0.388,0.318,0.76
,"Fred VanVleet, PG",TOR,76,20,8.6,0.426,0.414,0.832
,"Danny Green, SG",SA,70,25.6,8.6,0.387,0.363,0.769
158,"Alex Len, C",PHX,69,20.2,8.5,0.566,0.333,0.684
,"Dwight Powell, C",DAL,79,21.2,8.5,0.593,0.333,0.719
160,"Jerami Grant, SF",OKC,81,20.3,8.4,0.535,0.291,0.675
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
161,"Garrett Temple, SF",SAC,65,24.8,8.4,0.418,0.392,0.769
,"Marcin Gortat, C",WSH,82,25.3,8.4,0.518,0,0.675
,"Devin Harris, PG",DAL/DEN,71,18.9,8.4,0.412,0.348,0.835
,"Jerian Grant, PG",CHI,74,22.8,8.4,0.416,0.326,0.745
165,"JR Smith, SG",CLE,80,28.1,8.3,0.403,0.375,0.696
,"Rajon Rondo, PG",NO,65,26.2,8.3,0.468,0.333,0.543
167,"Evan Turner, SF",POR,79,25.7,8.2,0.447,0.318,0.85
,"Jarrett Allen, C",BKN,72,20,8.2,0.589,0.333,0.776
169,"Dejounte Murray, PG",SA,81,21.5,8.1,0.443,0.265,0.709
170,"Delon Wright, PG",TOR,69,20.8,8,0.465,0.366,0.829
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
171,"David Nwaba, SF",CHI,70,23.5,7.9,0.478,0.346,0.655
,"Cory Joseph, PG",IND,82,27,7.9,0.424,0.353,0.745
,"Kyle Anderson, SF",SA,74,26.7,7.9,0.527,0.333,0.712
,"Josh Hart, SG",LAL,63,23.2,7.9,0.469,0.396,0.702
175,"Tyler Ulis, G",PHX,71,23.4,7.8,0.388,0.288,0.832
,"Justise Winslow, SF",MIA,68,24.7,7.8,0.424,0.38,0.635
,"Doug McDermott, SF",DAL/NY,81,21.8,7.8,0.467,0.426,0.79
,"Darius Miller, SF",NO,82,23.7,7.8,0.444,0.411,0.866
179,"Jarell Martin, PF",MEM,73,22.8,7.7,0.446,0.347,0.767
,"Marquese Chriss, PF",PHX,72,21.2,7.7,0.423,0.295,0.608
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
,"Alec Burks, SG",UTAH,64,16.5,7.7,0.411,0.331,0.863
,"Mario Chalmers, PG",MEM,66,21.5,7.7,0.379,0.277,0.855
183,"Luke Kennard, SG",DET,73,20,7.6,0.443,0.415,0.855
184,"Luc Mbah a Moute, PF",HOU,61,25.6,7.5,0.481,0.364,0.684
,"Jarrett Jack, PG",NY,62,25,7.5,0.427,0.291,0.84
186,"Ian Clark, SG",NO,74,19.6,7.4,0.448,0.318,0.763
187,"Pascal Siakam, PF",TOR,81,20.7,7.3,0.508,0.22,0.621
,"Nick Young, SG",GS,80,17.4,7.3,0.412,0.377,0.862
189,"Tomas Satoransky, SG",WSH,73,22.5,7.2,0.523,0.465,0.781
190,"Kyle O'Quinn, C",NY,77,18,7.1,0.583,0.235,0.772
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
,"James Ennis III, SF",DET/MEM,72,22.3,7.1,0.474,0.333,0.836
,"Mason Plumlee, C",DEN,74,19.5,7.1,0.601,0,0.458
193,"Bryn Forbes, SG",SA,80,19,6.9,0.421,0.39,0.667
,"Jakob Poeltl, C",TOR,82,18.6,6.9,0.659,0.5,0.594
,"Bam Adebayo, C",MIA,69,19.8,6.9,0.512,0,0.721
,"Raymond Felton, PG",OKC,82,16.6,6.9,0.407,0.354,0.818
,"Tony Snell, SG",MIL,75,27.4,6.9,0.435,0.403,0.792
,"Shelvin Mack, G",ORL,69,19.8,6.9,0.43,0.345,0.711
199,"David West, PF",GS,73,13.7,6.8,0.571,0.375,0.759
,"Nemanja Bjelica, PF",MIN,67,20.5,6.8,0.461,0.415,0.8
