RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
68,"Kevin Love, C",CLE,59,17.6,5.7,12.4,334,729,0.458,197,399,0.494,1.43,0.552
69,"Jeremy Lamb, SG",CHA,80,12.9,4.8,10.4,380,832,0.457,286,578,0.495,1.24,0.513
70,"DeMar DeRozan, SG",TOR,80,23,8.1,17.7,645,1413,0.456,556,1126,0.494,1.3,0.488
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
71,"Dirk Nowitzki, C",DAL,77,12,4.5,9.8,346,758,0.456,208,421,0.494,1.22,0.547
72,"Courtney Lee, SG",NY,76,12,4.5,9.9,343,755,0.454,230,477,0.482,1.21,0.529
73,"Dario Saric, PF",PHI,78,14.6,5.2,11.4,403,890,0.453,246,491,0.501,1.28,0.541
74,"Tyreke Evans, SG",MEM,52,19.4,7,15.6,366,809,0.452,252,523,0.482,1.25,0.523
75,"Will Barton, SF",DEN,81,15.7,5.7,12.7,465,1028,0.452,309,606,0.51,1.23,0.528
76,"Jamal Murray, PG",DEN,81,16.7,5.9,13.1,479,1062,0.451,314,626,0.502,1.27,0.529
77,"Josh Richardson, SF",MIA,81,12.9,4.9,10.9,399,885,0.451,272,549,0.495,1.18,0.523
78,"Jordan Clarkson, PG",CLE/LAL,81,13.9,5.3,11.8,430,954,0.451,318,636,0.5,1.18,0.509
79,"Kyle Kuzma, PF",LAL,77,16.1,6.1,13.5,468,1039,0.45,309,605,0.511,1.2,0.527
80,"Goran Dragic, PG",MIA,75,17.3,6.5,14.3,484,1075,0.45,373,775,0.481,1.21,0.502
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
81,"James Harden, PG",HOU,72,30.4,9,20.1,651,1449,0.449,386,727,0.531,1.51,0.541
82,"Russell Westbrook, PG",OKC,80,25.4,9.5,21.1,757,1687,0.449,660,1361,0.485,1.2,0.477
83,"Nikola Mirotic, PF",NO/CHI,55,15.6,5.6,12.4,306,684,0.447,171,326,0.525,1.26,0.546
84,"Buddy Hield, SG",SAC,80,13.5,5.2,11.7,416,933,0.446,240,525,0.457,1.16,0.54
85,"Jeff Teague, PG",MIN,70,14.2,5.1,11.3,354,794,0.446,270,566,0.477,1.25,0.499
86,"Bogdan Bogdanovic, SG",SAC,78,11.8,4.4,9.9,344,772,0.446,215,443,0.485,1.19,0.529
87,"Harrison Barnes, SF",DAL,77,18.9,7,15.7,537,1208,0.445,418,875,0.478,1.2,0.494
88,"CJ McCollum, SG",POR,81,21.4,8.2,18.6,667,1505,0.443,478,1029,0.465,1.15,0.506
89,"Marco Belinelli, SG",ATL/PHI,80,12.1,4.2,9.6,337,764,0.441,188,369,0.509,1.27,0.539
90,"Dillon Brooks, SF",MEM,82,11,4.1,9.4,340,772,0.44,246,508,0.484,1.16,0.501
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
91,"J.J. Barea, PG",DAL,69,11.6,4.4,10,303,690,0.439,188,377,0.499,1.16,0.522
92,"Damian Lillard, PG",POR,73,26.9,8.5,19.4,621,1415,0.439,394,786,0.501,1.39,0.519
93,"Kristaps Porzingis, PF",NY,48,22.7,8.1,18.5,390,889,0.439,300,661,0.454,1.22,0.489
94,"Blake Griffin, PF",DET/LAC,58,21.4,7.5,17.2,436,996,0.438,325,674,0.482,1.25,0.493
95,"Andrew Wiggins, SF",MIN,82,17.7,6.9,15.9,569,1300,0.438,457,962,0.475,1.12,0.481
96,"Donovan Mitchell, SG",UTAH,79,20.5,7.5,17.2,595,1362,0.437,408,812,0.502,1.19,0.506
97,"Dennis Schroder, PG",ATL,67,19.4,7.5,17.1,500,1146,0.436,424,884,0.48,1.14,0.469
98,"Caris LeVert, SG",BKN,71,12.1,4.5,10.4,320,735,0.435,235,490,0.48,1.17,0.493
99,"Lou Williams, SG",LAC,79,22.6,7.4,16.9,582,1337,0.435,396,819,0.484,1.33,0.505
100,"Tyler Johnson, SG",MIA,72,11.7,4.3,9.9,309,711,0.435,190,387,0.491,1.19,0.518
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
101,"Lauri Markkanen, PF",CHI,68,15.2,5.5,12.7,374,862,0.434,229,461,0.497,1.2,0.518
102,"Aaron Gordon, PF",ORL,58,17.6,6.5,14.9,375,865,0.434,260,523,0.497,1.18,0.5
103,"Devin Booker, SG",PHX,54,24.9,8.4,19.5,455,1054,0.432,308,670,0.46,1.28,0.501
104,"Kemba Walker, PG",CHA,80,22.1,7.4,17,588,1363,0.431,357,762,0.469,1.3,0.516
105,"Paul George, SF",OKC,79,21.9,7.3,17,576,1340,0.43,332,731,0.454,1.29,0.521
106,"Frank Kaminsky, PF",CHA,79,11.1,3.9,9.1,307,716,0.429,203,442,0.459,1.22,0.501
107,"Rodney Hood, SG",CLE/UTAH,60,14.7,5.4,12.5,322,751,0.429,195,418,0.467,1.17,0.513
108,"Eric Gordon, SG",HOU,69,18,6,14.1,415,970,0.428,197,362,0.544,1.28,0.54
109,"Lance Stephenson, SG",IND,82,9.2,3.7,8.6,303,709,0.427,236,477,0.495,1.07,0.475
110,"Kyle Lowry, PG",TOR,78,16.2,5.2,12.1,403,944,0.427,165,348,0.474,1.34,0.553
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
111,"Kentavious Caldwell-Pope, SG",LAL,74,13.4,4.6,10.8,340,798,0.426,181,383,0.473,1.24,0.526
112,"Yogi Ferrell, PG",DAL,82,10.2,3.8,8.9,311,730,0.426,177,371,0.477,1.15,0.518
113,"Taurean Prince, SF",ATL,82,14.1,5.1,11.9,415,975,0.426,239,518,0.461,1.19,0.516
114,"Austin Rivers, PG",LAC,61,15.1,5.6,13.2,341,805,0.424,205,445,0.461,1.14,0.508
115,"Tim Hardaway Jr., SF",NY,57,17.5,6.3,15,360,856,0.421,230,446,0.516,1.16,0.496
116,"Marc Gasol, C",MEM,73,17.2,5.9,14.2,434,1033,0.42,325,713,0.456,1.22,0.473
117,"Ricky Rubio, PG",UTAH,77,13.1,4.5,10.7,346,827,0.418,250,554,0.451,1.22,0.476
118,"Denzel Valentine, SF",CHI,77,10.2,3.9,9.4,301,721,0.417,158,351,0.45,1.09,0.517
119,"Josh Jackson, SG",PHX,77,13.1,5.1,12.1,389,932,0.417,332,715,0.464,1.09,0.448
120,"Jamal Crawford, SG",MIN,80,10.3,3.9,9.3,308,742,0.415,204,428,0.477,1.11,0.485
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
121,"DeMarre Carroll, SF",BKN,73,13.5,4.5,10.8,325,785,0.414,180,394,0.457,1.25,0.506
122,"Robert Covington, SF",PHI,80,12.6,4.3,10.5,345,836,0.413,142,286,0.497,1.21,0.534
123,"De'Aaron Fox, PG",SAC,73,11.6,4.5,10.9,328,797,0.412,281,644,0.436,1.06,0.441
124,"Allen Crabbe, SG",BKN,75,13.2,4.5,11,337,827,0.408,136,295,0.461,1.2,0.529
125,"Carmelo Anthony, F",OKC,78,16.2,6.1,15,472,1168,0.404,303,694,0.437,1.08,0.476
126,"Kelly Oubre Jr., SF",WSH,81,11.8,3.9,9.8,318,790,0.403,192,421,0.456,1.21,0.482
127,"Terry Rozier, PG",BOS,80,11.3,4,10,316,800,0.395,163,398,0.41,1.13,0.491
128,"Dennis Smith Jr., PG",DAL,69,15.2,5.9,14.8,404,1024,0.395,298,685,0.435,1.02,0.446
129,"Spencer Dinwiddie, PG",BKN,80,12.6,4.1,10.5,324,838,0.387,183,405,0.452,1.2,0.471
