RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
,"Davis Bertans, C",SA,77,14.1,18,0.2,135,1.8,153,2.0,6.8
,"Cedi Osman, SF",CLE,61,11.0,19,0.3,101,1.7,120,2.0,8.6
,"Pat Connaughton, SG",POR,82,18.1,36,0.4,125,1.5,161,2.0,5.2
234,"Tim Frazier, PG",WSH,59,14.2,18,0.3,97,1.6,115,1.9,6.6
,"Treveon Graham, SG",CHA,63,16.7,42,0.7,79,1.3,121,1.9,5.5
,"Sindarius Thornwell, SG",LAC,73,15.8,33,0.5,107,1.5,140,1.9,5.8
,"Raymond Felton, PG",OKC,82,16.6,25,0.3,131,1.6,156,1.9,5.5
,"Marco Belinelli, SG",ATL/PHI,80,24.3,20,0.3,131,1.6,151,1.9,3.7
,"Tony Snell, SG",MIL,75,27.4,9,0.1,132,1.8,141,1.9,3.3
,"Patty Mills, PG",SA,82,25.7,26,0.3,128,1.6,154,1.9,3.5
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
241,"Shaun Livingston, PG",GS,71,15.9,32,0.5,99,1.4,131,1.8,5.6
,"Tyler Ulis, G",PHX,71,23.4,24,0.3,104,1.5,128,1.8,3.7
,"Devin Harris, PG",DAL/DEN,71,18.9,12,0.2,115,1.6,127,1.8,4.5
244,"Ian Clark, SG",NO,74,19.6,10,0.1,117,1.6,127,1.7,4.2
,"Norman Powell, SF",TOR,70,15.2,14,0.2,105,1.5,119,1.7,5.4
246,"Jodie Meeks, SG",WSH,77,14.5,15,0.2,111,1.4,126,1.6,5.4
,"Tyus Jones, PG",MIN,82,17.9,16,0.2,116,1.4,132,1.6,4.3
,"Troy Daniels, SG",PHX,79,20.5,12,0.2,115,1.5,127,1.6,3.8
,"Langston Galloway, SG",DET,58,14.9,13,0.2,79,1.4,92,1.6,5.1
,"Nick Young, SG",GS,80,17.4,20,0.3,105,1.3,125,1.6,4.3
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
251,"Alex Abrines, SG",OKC,75,15.1,26,0.3,88,1.2,114,1.5,4.8
252,"Isaiah Taylor, G",ATL,67,17.4,22,0.3,72,1.1,94,1.4,3.9
,"Bryn Forbes, SG",SA,80,19.0,12,0.2,98,1.2,110,1.4,3.5
254,"DeAndre Liggins, SG",NO/MIL,58,12.5,7,0.1,68,1.2,75,1.3,5.0
255,"Jamal Crawford, SG",MIN,80,20.7,21,0.3,78,1.0,99,1.2,2.9
256,"Malik Beasley, SG",DEN,62,9.5,14,0.2,57,0.9,71,1.1,5.8
,"Brandon Paul, G",SA,64,9.0,6,0.1,62,1.0,68,1.1,5.7
258,"Malik Monk, SG",CHA,63,13.5,8,0.1,58,0.9,66,1.0,3.7
259,"Terrance Ferguson, SG",OKC,61,12.5,19,0.3,28,0.5,47,0.8,3.0
