RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
77,"E'Twaun Moore, SF",NO,82,31.5,79,0.96,1.47,102,1.24,182,0.77,0.43
,"James Johnson, PF",MIA,73,26.6,70,0.96,1.73,142,1.95,192,0.49,0.36
,"De'Aaron Fox, PG",SAC,73,27.8,70,0.96,1.66,173,2.37,163,0.40,0.43
,"Rondae Hollis-Jefferson, SF",BKN,68,28.3,65,0.96,1.62,121,1.78,145,0.54,0.45
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
81,"PJ Tucker, SF",HOU,82,27.8,78,0.95,1.64,74,0.90,205,1.05,0.38
,"CJ McCollum, SG",POR,81,36.1,77,0.95,1.26,151,1.86,168,0.51,0.46
83,"Bogdan Bogdanovic, SG",SAC,78,27.9,72,0.92,1.59,125,1.60,172,0.58,0.42
84,"Dwyane Wade, SG",CLE/MIA,67,22.9,61,0.91,1.91,140,2.09,124,0.44,0.49
,"George Hill, PG",CLE/SAC,67,27.0,61,0.91,1.62,88,1.31,128,0.69,0.48
86,"Danny Green, SG",SA,70,25.6,63,0.90,1.69,74,1.06,122,0.85,0.52
87,"Fred VanVleet, PG",TOR,76,20.0,68,0.89,2.15,74,0.97,130,0.92,0.52
,"Dillon Brooks, SF",MEM,82,28.7,73,0.89,1.49,124,1.51,233,0.59,0.31
,"Tobias Harris, SF",DET/LAC,80,33.4,71,0.89,1.28,105,1.31,164,0.68,0.43
90,"Ersan Ilyasova, PF",ATL/PHI,69,25.1,61,0.88,1.69,72,1.04,157,0.85,0.39
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
,"Garrett Temple, SF",SAC,65,24.8,57,0.88,1.69,79,1.22,135,0.72,0.42
92,"Jerian Grant, PG",CHI,74,22.8,63,0.85,1.79,89,1.20,132,0.71,0.48
,"JR Smith, SG",CLE,80,28.1,68,0.85,1.45,81,1.01,161,0.84,0.42
,"Spencer Dinwiddie, PG",BKN,80,28.8,68,0.85,1.42,128,1.60,186,0.53,0.37
,"Dwight Powell, C",DAL,79,21.2,67,0.85,1.92,59,0.75,186,1.14,0.36
,"Frank Ntilikina, PG",NY,78,21.9,66,0.85,1.86,131,1.68,181,0.50,0.36
97,"Denzel Valentine, SF",CHI,77,27.2,65,0.84,1.49,99,1.29,185,0.66,0.35
,"Andre Iguodala, SF",GS,64,25.4,54,0.84,1.60,67,1.05,99,0.81,0.55
,"David Nwaba, SF",CHI,70,23.5,59,0.84,1.72,77,1.10,158,0.77,0.37
,"Jonathon Simmons, SF",ORL,69,29.4,58,0.84,1.37,146,2.12,175,0.40,0.33
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
,"Goran Dragic, PG",MIA,75,31.7,63,0.84,1.27,166,2.21,180,0.38,0.35
102,"Tyler Johnson, SG",MIA,72,28.5,60,0.83,1.40,81,1.13,148,0.74,0.41
,"Marco Belinelli, SG",ATL/PHI,80,24.3,66,0.83,1.63,94,1.18,91,0.70,0.73
104,"Kelly Olynyk, PF",MIA,76,23.4,62,0.82,1.67,147,1.93,222,0.42,0.28
105,"Maurice Harkless, SF",POR,59,21.4,48,0.81,1.82,40,0.68,103,1.20,0.47
,"Jusuf Nurkic, C",POR,79,26.4,64,0.81,1.47,183,2.32,247,0.35,0.26
,"DeMarre Carroll, SF",BKN,73,29.9,59,0.81,1.30,103,1.41,165,0.57,0.36
108,"Jae Crowder, PF",CLE/UTAH,80,26.1,64,0.80,1.47,74,0.93,187,0.86,0.34
,"Tim Frazier, PG",WSH,59,14.2,47,0.80,2.69,57,0.97,97,0.82,0.48
110,"Justise Winslow, SF",MIA,68,24.7,54,0.79,1.54,77,1.13,140,0.70,0.39
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
111,"Clint Capela, C",HOU,74,27.5,58,0.78,1.37,103,1.39,185,0.56,0.31
,"Shelvin Mack, G",ORL,69,19.8,54,0.78,1.90,89,1.29,91,0.61,0.59
,"Ish Smith, PG",DET,82,24.9,64,0.78,1.50,108,1.32,140,0.59,0.46
,"Yogi Ferrell, PG",DAL,82,27.8,64,0.78,1.35,78,0.95,153,0.82,0.42
,"Karl-Anthony Towns, C",MIN,82,35.6,64,0.78,1.05,159,1.94,285,0.40,0.22
116,"Markieff Morris, PF",WSH,73,27.0,56,0.77,1.37,127,1.74,216,0.44,0.26
,"Pascal Siakam, PF",TOR,81,20.7,62,0.77,1.77,67,0.83,166,0.93,0.37
118,"Brandon Ingram, SF",LAL,59,33.5,45,0.76,1.09,149,2.53,163,0.30,0.28
,"Jeremy Lamb, SG",CHA,80,24.6,61,0.76,1.49,93,1.16,138,0.66,0.44
,"Reggie Bullock, SG",DET,62,27.9,47,0.76,1.30,47,0.76,70,1.00,0.67
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
121,"Taj Gibson, PF",MIN,82,33.3,62,0.76,1.09,89,1.09,218,0.70,0.28
122,"Klay Thompson, SG",GS,73,34.3,55,0.75,1.05,128,1.75,117,0.43,0.47
,"Rodney Hood, SG",CLE/UTAH,60,26.9,45,0.75,1.34,70,1.17,105,0.64,0.43
,"Nemanja Bjelica, PF",MIN,67,20.5,50,0.75,1.75,52,0.78,141,0.96,0.35
,"Josh Hart, SG",LAL,63,23.2,47,0.75,1.55,47,0.75,107,1.00,0.44
126,"Marc Gasol, C",MEM,73,33.0,54,0.74,1.08,194,2.66,185,0.28,0.29
,"Kevin Durant, SF",GS,68,34.2,50,0.74,1.03,207,3.04,133,0.24,0.38
128,"Kevin Love, C",CLE,59,28.0,43,0.73,1.25,90,1.53,120,0.48,0.36
129,"Vince Carter, SG",SAC,58,17.7,42,0.72,1.96,36,0.62,96,1.17,0.44
,"D.J. Augustin, PG",ORL,75,23.5,54,0.72,1.47,123,1.64,94,0.44,0.57
