RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
,"Khris Middleton, SF",MIL,82,20.1,1.8,5,146,407,0.359,447,865,0.517,1.3,0.524
,"Justin Holiday, SG",CHI,72,12.2,2.2,6,161,449,0.359,129,333,0.387,1.12,0.474
,"Eric Gordon, SG",HOU,69,18,3.2,9,218,608,0.359,197,362,0.544,1.28,0.54
120,"Wilson Chandler, SF",DEN,74,10,1.2,3,88,246,0.358,193,385,0.501,1.17,0.515
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
121,"Harrison Barnes, SF",DAL,77,18.9,1.5,4,119,333,0.357,418,875,0.478,1.2,0.494
,"Myles Turner, C",IND,65,12.7,0.9,2,56,157,0.357,250,482,0.519,1.3,0.523
,"Carmelo Anthony, F",OKC,78,16.2,2.2,6,169,474,0.357,303,694,0.437,1.08,0.476
124,"Dillon Brooks, SF",MEM,82,11,1.1,3,94,264,0.356,246,508,0.484,1.16,0.501
125,"DeMarcus Cousins, C",NO,48,25.2,2.2,6,104,294,0.354,302,570,0.53,1.4,0.53
,"Raymond Felton, PG",OKC,82,6.9,1,3,81,229,0.354,143,322,0.444,1.03,0.48
127,"Cory Joseph, PG",IND,82,7.9,0.8,2,67,190,0.353,189,414,0.457,1.07,0.479
128,"Pat Connaughton, SG",POR,82,5.4,0.9,3,74,210,0.352,91,180,0.506,1.13,0.518
,"Jordan Clarkson, PG",CLE/LAL,81,13.9,1.4,4,112,318,0.352,318,636,0.5,1.18,0.509
,"Ricky Rubio, PG",UTAH,77,13.1,1.2,4,96,273,0.352,250,554,0.451,1.22,0.476
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
131,"Jimmy Butler, SG",MIN,59,22.2,1.2,3,70,200,0.35,367,721,0.509,1.42,0.512
