RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
,"Zach Collins, C",POR,66,15.8,52,0.8,58,0.9,2.4,0.90
,"CJ Miles, SF",TOR,70,19.1,55,0.8,39,0.6,2.0,1.41
233,"OG Anunoby, SF",TOR,74,20.0,55,0.7,45,0.6,1.8,1.22
,"Tyler Zeller, C",MIL/BKN,66,16.8,47,0.7,47,0.7,2.0,1.00
,"Maximilian Kleber, PF",DAL,72,16.8,51,0.7,30,0.4,2.0,1.70
,"Jerami Grant, SF",OKC,81,20.3,57,0.7,54,0.7,1.7,1.06
,"Patrick Patterson, PF",OKC,82,15.5,57,0.7,33,0.4,2.2,1.73
,"Jakob Poeltl, C",TOR,82,18.6,57,0.7,85,1.0,1.8,0.67
,"Ian Mahinmi, C",WSH,77,14.9,53,0.7,100,1.3,2.2,0.53
,"Jarrett Allen, C",BKN,72,20.0,49,0.7,82,1.1,1.6,0.60
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
241,"Cedi Osman, SF",CLE,61,11.0,41,0.7,32,0.5,2.9,1.28
,"Dante Cunningham, SF",NO/BKN,73,21.4,48,0.7,33,0.5,1.5,1.45
243,"Deyonta Davis, C",MEM,62,15.2,40,0.6,32,0.5,2.0,1.25
,"Kevon Looney, SF",GS,66,13.8,42,0.6,31,0.5,2.2,1.35
,"Thon Maker, C",MIL,74,16.7,46,0.6,44,0.6,1.8,1.05
,"Troy Daniels, SG",PHX,79,20.5,48,0.6,56,0.7,1.4,0.86
,"Lance Thomas, SF",NY,73,18.5,44,0.6,41,0.6,1.6,1.07
,"Brandon Paul, G",SA,64,9.0,37,0.6,29,0.5,3.1,1.28
,"Salah Mejri, C",DAL,61,12.0,35,0.6,39,0.6,2.3,0.90
,"Jonas Jerebko, PF",UTAH,74,15.3,42,0.6,27,0.4,1.8,1.56
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
251,"Sam Dekker, SF",LAC,73,12.1,38,0.5,33,0.5,2.1,1.15
,"Ed Davis, PF",POR,78,18.9,40,0.5,66,0.8,1.3,0.61
,"JaVale McGee, C",GS,65,9.5,33,0.5,27,0.4,2.6,1.22
,"Malik Beasley, SG",DEN,62,9.5,31,0.5,24,0.4,2.5,1.29
,"Nick Young, SG",GS,80,17.4,36,0.5,39,0.5,1.2,0.92
256,"Alex Abrines, SG",OKC,75,15.1,28,0.4,25,0.3,1.2,1.12
257,"Terrance Ferguson, SG",OKC,61,12.5,19,0.3,11,0.2,1.2,1.73
,"Josh Huestis, SG",OKC,69,14.2,20,0.3,26,0.4,1.0,0.77
,"Semi Ojeleye, PF",BOS,73,15.8,20,0.3,25,0.3,0.8,0.80
